id,name,brand,street,place,lat,lng,city_search
8dc98c23-8ce7-40cd-8d75-4d51d4fbbe14,TotalEnergies Duisburg,TotalEnergies,Heerstr.,Duisburg,51.41509,6.762589,Oberhausen
51d4b622-a095-1aa0-e100-80009459e03a,JET ESSEN BOTTROPER STR. 306,JET,BOTTROPER STR.,ESSEN,51.48468,6.97488,Essen
51d4b604-a095-1aa0-e100-80009459e03a,JET BOTTROP GLADBECKER STR. 113,JET,GLADBECKER STR.,BOTTROP,51.53141,6.92954,Essen
228f5d88-2dff-4f34-a5b4-7538f63857aa,Aral Tankstelle,ARAL,Hoehenweg,Oberhausen,51.54838,6.851153,Oberhausen
646ad98b-435a-49f6-b33b-12b0ff37b15f,Aral Tankstelle,ARAL,Bottroper Straße,Essen,51.484367,6.975781,Essen
6f1532ed-c97b-42b2-94ea-73063728ca5d,Shell Duisburg Rheinhauserstr. 179,Shell,Rheinhauserstr.,Duisburg,51.419118,6.751523,Oberhausen
005056ba-7cb6-1ed2-bceb-9ec28df60d3d,star Tankstelle,STAR,Bottroper Straße,Essen,51.482208,6.979689,Essen
f6b98263-77d2-44b4-b77e-9733d7e756c3,Esso Tankstelle,ESSO,HATZPER STR. 221,ESSEN,51.420752,6.955207,Essen
d49f1a96-c822-4a62-87cd-3f3434458e8e,OIL! Tankstelle Essen,OIL!,Frohnhauser Straße 215,Essen,51.4496,6.97792,Essen
0a3abfdc-d108-402b-b303-10a42c25f80a,Aral Tankstelle,ARAL,Weseler Straße,Duisburg,51.513927,6.741863,Oberhausen
ea07e3cf-7609-4c10-9b01-fd5e6f3cfede,Aral Tankstelle,ARAL,Ostring,Bottrop,51.521896,6.952606,Essen
bfe3d86b-b520-4fcb-b101-38e7246b0562,Shell Essen Hausacker/Ecke Kaempenstr.,Shell,Hausacker/Ecke Kaempenstr.,Essen,51.442322,6.976069,Essen
a9d29a55-2ef5-4dde-9b7a-6a2f1627b87b,Shell Duisburg Wacholderstr. 20,Shell,Wacholderstr.,Duisburg,51.405002,6.769096,Oberhausen
0b51ce8e-c120-4e70-8853-169a4f1cb4b4,Esso Tankstelle,ESSO,BOTTROPER STR. 100,ESSEN,51.475892,6.984549,Essen
005056ba-7cb6-1ed2-bceb-714f5c000d23,star Tankstelle,STAR,Friedrich-Ebert-Straße,Duisburg,51.517588,6.741547,Oberhausen
ef141f91-6692-4791-beb1-02a0cf50bdf7,Tankport Bottrop,,Kirchhellener Str.,Bottrop,51.54355,6.91792,Essen
4f20872e-6375-411d-95d7-9cefb641792f,Shell Duisburg Wedauer Str. 325,Shell,Wedauer Str.,Duisburg,51.392646,6.791711,Oberhausen
b984d29b-ee6f-4195-8497-02c0edb9aa05,Iris Müller,Westfalen,Wanheimer Str.,Duisburg,51.40969,6.75258,Oberhausen
d20daa3e-3cbe-4e84-a022-c281a14660a9,Gökhan Orhan,Westfalen,Rheindeichstr.,Duisburg,51.45732,6.71279,Oberhausen
3f291987-7e75-4013-b146-e4fe7e14745c,Esso Tankstelle,ESSO,SOMMERBURGSTR. 114,ESSEN,51.424835,6.974874,Essen
51d4b446-a095-1aa0-e100-80009459e03a,JET BOTTROP HORSTER STR. 264,JET,HORSTER STR.,BOTTROP,51.53324,6.95453,Essen
dd3305f5-c2b3-47d0-acda-02842e693cf9,Essen Hans-Böckler-Straße,Mr. Wash Autoservice AG,Hans-Böckler-Straße,Essen,51.45515,6.99669,Essen
5f19a156-2d66-401f-8038-4c4905f3b4a7,TotalEnergies Duisburg,TotalEnergies,Dr.-Wilh.-Roelen-Str,Duisburg,51.527317,6.7363,Oberhausen
51d4b43f-a095-1aa0-e100-80009459e03a,JET DUISBURG DUESSELDORFER STR. 572,JET,DUESSELDORFER STR.,DUISBURG,51.39711,6.75999,Oberhausen
7b332ad1-b480-444f-98a2-3f448d45917f,Shell Essen Gladbecker Str. 385,Shell,Gladbecker Str.,Essen,51.485996,6.998562,Essen
6bbcea89-9ecf-40c5-a747-fc16fe2b2785,Essen Gladbecker Straße,Mr. Wash Autoservice AG,Gladbecker Straße,Essen,51.4884818,6.9981335,Essen
ff1158e6-ce9d-4e5b-aefe-d54393487d55,OIL! Tankstelle Essen,OIL!,Schederhofstraße 8,Essen,51.4495,6.99802,Essen
5c670918-614c-4982-9cd7-1ed0ba922c7a,Aral Tankstelle,ARAL,Gladbecker Str.,Essen,51.48616,6.999299,Essen
909771dc-67d9-4127-be98-06b90fab9a93,Ernst Vollmer,Markant,Kurt-Schumacher-Str.,Dinslaken,51.55736,6.79608,Oberhausen
e1a15081-2570-9107-e040-0b0a3dfe563c,"Essen, Hufelandstr. 26",HEM,Hufelandstr.,Essen,51.436685,6.994071,Essen
cd8ba6a6-1eeb-1ed4-8fa3-6a5bd514c3b5,JET ESSEN GLADBECKER STR. 292,JET,GLADBECKER STR.,ESSEN,51.48079,7.00261,Essen
25f2f2d2-8e47-4b82-9b28-2d504d3665cb,Shell Duisburg Moerser Str. 121,Shell,Moerser Str.,Duisburg,51.449345,6.701674,Oberhausen
f14eb3a1-4165-47c3-a690-486b5084b08f,Aral Tankstelle,ARAL,Holsterhauser Straße,Essen,51.446255,7.000578,Essen
